S.no,Area of exposure (AE) sq. m ,Depth of cover (DOC) m,RMR,Gallery Width,Inter-sectional Span (IS) m,Roof Fall Rate
488,5100,380,64,6,7.1,4000
489,1600,385,64,6.2,7.2,1600
490,1700,397,64,6.3,7.2,1000
491,1350,376,64,6.2,7.1,1350
492,3250,380,64,6,7.1,1750
493,2250,370,64,6.1,7.2,1850
494,1300,396,64,6.3,7.2,500
495,5250,380,64,6.2,7.1,3500
496,2300,370,64,6.3,7.1,1450
497,3400,385,64,6,7.1,2000
498,3750,376,64,6.3,7.2,1550
499,3100,380,64,6.2,7.1,1400
500,3150,396,64,6,7.2,1500
501,2600,380,64,6,7.1,1460
502,3100,380,64,6,7.1,1600
503,2750,376,64,6.13,7.2,1600
504,3500,376,64,6.1,7.2,2250
505,3750,397,64,6.1,7.2,3000
506,3200,396,64,6.2,7.2,2500
507,1500,385,64,6.2,7.2,500
508,1600,376,64,6.3,7.2,1600
509,3500,385,64,6.3,7.2,2200
510,3250,376,64,6.3,7.1,2000
511,2500,376,64,6.3,7.1,2500
512,2000,370,64,6.1,7.1,1500
513,2500,376,64,6.1,7.1,1750
514,1900,396,64,6.2,7.1,1200
515,2000,397,64,6.2,7.1,1500
516,1500,397,64,6,7.1,1000
517,3250,396,64,6.2,7.1,3000
518,2250,379,64,6.2,7.1,2000
519,1250,376,64,6.2,7.1,1250
520,2200,379,64,6,7.1,1600
521,1100,380,64,6.2,7.1,600
522,1950,380,64,6,7.1,1500
523,3200,385,64,6.2,7.2,2500
524,2100,370,64,6.1,7.1,1600
525,3150,396,64,6,7.2,1500
526,1800,397,64,6.3,7.1,1800
527,2500,370,64,6.1,7.2,1750
528,3500,385,64,6.3,7.2,2250
529,3500,376,64,6.1,7.2,2200
530,1900,397,64,6.3,7.1,600
531,2500,370,64,6.2,7.1,2500
532,3800,385,64,6.3,7.2,1600
533,2100,396,64,6,7.1,1500
534,2400,370,64,6.3,7.1,2000
535,3950,396,64,6.1,7.2,3000
536,2700,380,64,6.2,7.1,2500
537,1500,376,64,6.2,7.1,500
538,2150,397,64,6.2,7.1,1500
539,3150,396,64,6.3,7.1,2150
540,2600,376,64,6.1,7.1,2000
541,5350,379,64,6,7.1,4000
542,2750,376,64,6.13,7.2,1600
543,3850,385,64,6.2,7.2,1500
544,3550,376,64,6.1,7.2,2000
545,5150,380,64,6.2,7.1,4500
546,5250,379,64,6,7.1,4000
547,1550,397,64,6.2,7.1,1000
548,2950,376,64,6.3,7.2,1500
549,1350,385,64,6.2,7.1,500
550,3300,380,64,6,7.2,2000
551,2000,370,64,6.2,7.1,1000
552,3000,380,64,6,7.2,1500
553,3000,385,64,6.3,7.2,2000
554,5000,379,64,6,7.1,3300
555,6000,397,64,6.1,7.2,3000
556,5450,380,64,6.2,7.1,4200
557,5200,396,64,6,7.1,3500
558,3450,385,64,6.1,7.1,1450
559,3550,376,64,6.1,7.2,1600
560,2350,397,64,6.3,7.1,1700
561,3350,380,64,6.2,7.1,2000
562,3050,380,64,6,7.1,1000
563,2050,370,64,6.2,7.2,2050
564,5050,396,64,6.2,7.1,4500
565,6050,397,64,6.1,7.2,3500
566,1400,385,64,6.3,7.2,1400
567,2600,376,64,6.3,7.1,2600
568,5600,379,64,6,7.1,3500
569,5450,380,64,6.2,7.1,4000
570,5300,379,64,6,7.1,4500
571,2300,370,64,6.2,7.1,1500
572,3300,396,64,6,7.2,1750
573,5000,379,64,6.2,7.1,2500
574,3500,385,64,6.1,7.2,2000
575,2600,370,64,6.3,7.1,2600
576,2700,376,64,6.3,7.1,1600
577,2850,397,64,6.13,7.2,1800
578,3750,376,64,6.3,7.2,2000
579,3600,396,64,6,7.1,2500
580,1900,397,64,6.3,7.1,1000
581,1250,376,64,6.2,7.1,500
582,3100,380,64,6.3,7.2,1300
583,6500,397,64,6.1,7.2,3000
584,6250,397,64,6.1,7.2,3200
585,2650,370,64,6.13,7.1,1200
586,3800,385,64,6,7.2,1550
587,5350,396,64,6.2,7.1,3000
588,5100,380,64,6,7.1,4000
589,1600,385,64,6.2,7.2,1600
590,1700,397,64,6.3,7.2,1000
591,1350,376,64,6.2,7.1,1350
592,3250,380,64,6,7.1,1750
593,2250,370,64,6.1,7.2,1850
594,1300,396,64,6.3,7.2,500
595,5250,380,64,6.2,7.1,3500
596,2300,370,64,6.3,7.1,1450
597,3400,385,64,6,7.1,2000
598,3750,376,64,6.3,7.2,1550
599,3100,380,64,6.2,7.1,1400
600,3150,396,64,6,7.2,1500
601,3150,396,64,6,7.2,1500
602,2600,380,64,6,7.1,1460
603,3100,380,64,6,7.1,1600
604,2750,376,64,6.13,7.2,1600
605,3500,376,64,6.1,7.2,2250
606,3750,397,64,6.1,7.2,3000
607,3200,396,64,6.2,7.2,2500
608,1500,385,64,6.2,7.2,500
609,1600,376,64,6.3,7.2,1600
610,3500,385,64,6.3,7.2,2200
611,3250,376,64,6.3,7.1,2000
612,2500,376,64,6.3,7.1,2500
613,2000,370,64,6.1,7.1,1500
614,2500,376,64,6.1,7.1,1750
615,1900,396,64,6.2,7.1,1200
616,2000,397,64,6.2,7.1,1500
617,1500,397,64,6,7.1,1000
618,3250,396,64,6.2,7.1,3000
619,2250,379,64,6.2,7.1,2000
620,1250,376,64,6.2,7.1,1250
